event_date_id,candidate_date_utc,year,candidate_date_definition,time_standard,nmc_source_url,source_access_mode,platform,nominal_sampling_interval_min,retained_mask_count,first_retained_scene_utc,last_retained_scene_utc,mask_subdirectory,catalogue_scope_note
ESF-20200121,2020-01-21,2020,NMC forecast-valid date,UTC,https://www.nmc.cn/publish/fog.html,screened on each publication day,H08,30,6,2020-01-21T00:00:00Z,2020-01-21T02:30:00Z,2020/mask,Date-level catalogue of samples represented by retained mask filenames; consecutive dates were not merged into meteorological events.
ESF-20200123,2020-01-23,2020,NMC forecast-valid date,UTC,https://www.nmc.cn/publish/fog.html,screened on each publication day,H08,30,4,2020-01-23T02:30:00Z,2020-01-23T04:00:00Z,2020/mask,Date-level catalogue of samples represented by retained mask filenames; consecutive dates were not merged into meteorological events.
ESF-20200213,2020-02-13,2020,NMC forecast-valid date,UTC,https://www.nmc.cn/publish/fog.html,screened on each publication day,H08,30,16,2020-02-13T00:00:00Z,2020-02-13T08:00:00Z,2020/mask,Date-level catalogue of samples represented by retained mask filenames; consecutive dates were not merged into meteorological events.
ESF-20200214,2020-02-14,2020,NMC forecast-valid date,UTC,https://www.nmc.cn/publish/fog.html,screened on each publication day,H08,30,20,2020-02-14T00:00:00Z,2020-02-14T10:00:00Z,2020/mask,Date-level catalogue of samples represented by retained mask filenames; consecutive dates were not merged into meteorological events.
ESF-20200220,2020-02-20,2020,NMC forecast-valid date,UTC,https://www.nmc.cn/publish/fog.html,screened on each publication day,H08,30,10,2020-02-20T00:00:00Z,2020-02-20T04:30:00Z,2020/mask,Date-level catalogue of samples represented by retained mask filenames; consecutive dates were not merged into meteorological events.
ESF-20200226,2020-02-26,2020,NMC forecast-valid date,UTC,https://www.nmc.cn/publish/fog.html,screened on each publication day,H08,30,19,2020-02-26T00:00:00Z,2020-02-26T09:00:00Z,2020/mask,Date-level catalogue of samples represented by retained mask filenames; consecutive dates were not merged into meteorological events.
ESF-20200511,2020-05-11,2020,NMC forecast-valid date,UTC,https://www.nmc.cn/publish/fog.html,screened on each publication day,H08,30,21,2020-05-11T00:00:00Z,2020-05-11T10:00:00Z,2020/mask,Date-level catalogue of samples represented by retained mask filenames; consecutive dates were not merged into meteorological events.
ESF-20200515,2020-05-15,2020,NMC forecast-valid date,UTC,https://www.nmc.cn/publish/fog.html,screened on each publication day,H08,30,19,2020-05-15T00:00:00Z,2020-05-15T09:00:00Z,2020/mask,Date-level catalogue of samples represented by retained mask filenames; consecutive dates were not merged into meteorological events.
ESF-20200523,2020-05-23,2020,NMC forecast-valid date,UTC,https://www.nmc.cn/publish/fog.html,screened on each publication day,H08,30,19,2020-05-23T00:00:00Z,2020-05-23T09:00:00Z,2020/mask,Date-level catalogue of samples represented by retained mask filenames; consecutive dates were not merged into meteorological events.
ESF-20201116,2020-11-16,2020,NMC forecast-valid date,UTC,https://www.nmc.cn/publish/fog.html,screened on each publication day,H08,30,4,2020-11-16T00:00:00Z,2020-11-16T02:30:00Z,2020/mask,Date-level catalogue of samples represented by retained mask filenames; consecutive dates were not merged into meteorological events.
ESF-20201228,2020-12-28,2020,NMC forecast-valid date,UTC,https://www.nmc.cn/publish/fog.html,screened on each publication day,H08,30,20,2020-12-28T00:00:00Z,2020-12-28T09:30:00Z,2020/mask,Date-level catalogue of samples represented by retained mask filenames; consecutive dates were not merged into meteorological events.
ESF-20210121,2021-01-21,2021,NMC forecast-valid date,UTC,https://www.nmc.cn/publish/fog.html,screened on each publication day,H08,30,12,2021-01-21T00:00:00Z,2021-01-21T09:00:00Z,2021/mask,Date-level catalogue of samples represented by retained mask filenames; consecutive dates were not merged into meteorological events.
ESF-20210122,2021-01-22,2021,NMC forecast-valid date,UTC,https://www.nmc.cn/publish/fog.html,screened on each publication day,H08,30,7,2021-01-22T00:00:00Z,2021-01-22T06:30:00Z,2021/mask,Date-level catalogue of samples represented by retained mask filenames; consecutive dates were not merged into meteorological events.
ESF-20210123,2021-01-23,2021,NMC forecast-valid date,UTC,https://www.nmc.cn/publish/fog.html,screened on each publication day,H08,30,3,2021-01-23T06:00:00Z,2021-01-23T07:00:00Z,2021/mask,Date-level catalogue of samples represented by retained mask filenames; consecutive dates were not merged into meteorological events.
